first,last,email,round 0,round 1,round 2,round 3,round 4,round 5,round 6,round 0 score,round 1 score,round 2 score,round 3 score,round 4 score,round 5 score,round 6 score
man0,last,man0@gmail.com,woman15 l,woman19 l,woman6 l,woman9 l,woman12 l,woman8 l,woman4 l,3.75,3.43,3.75,3.43,3.75,3.43,4.44
man1,last,man1@gmail.com,woman5 l,woman14 l,woman19 l,woman7 l,woman16 l,woman3 l,woman17 l,4.00,3.43,3.43,3.00,4.00,3.75,4.44
man2,last,man2@gmail.com,woman19 l,woman6 l,woman11 l,woman8 l,woman9 l,woman12 l,woman7 l,3.75,3.43,1.67,2.00,3.75,1.60,4.00
man3,last,man3@gmail.com,woman10 l,woman2 l,woman8 l,woman15 l,woman0 l,woman16 l,woman14 l,4.44,3.75,3.00,3.43,4.00,3.75,4.00
man4,last,man4@gmail.com,woman7 l,woman3 l,woman1 l,woman17 l,woman2 l,woman11 l,woman5 l,3.43,3.43,2.67,2.86,4.44,2.40,5.00
man5,last,man5@gmail.com,woman17 l,woman4 l,woman16 l,woman2 l,woman3 l,woman13 l,woman12 l,4.00,4.44,4.00,4.44,4.44,3.75,4.44
man6,last,man6@gmail.com,woman9 l,woman17 l,woman14 l,woman11 l,woman18 l,woman7 l,woman10 l,3.75,3.43,3.43,2.67,5.00,4.00,5.00
man7,last,man7@gmail.com,woman2 l,woman11 l,woman12 l,woman10 l,woman4 l,woman9 l,woman13 l,4.44,2.86,2.40,4.00,4.44,3.43,4.44
man8,last,man8@gmail.com,woman4 l,woman7 l,woman17 l,woman13 l,woman5 l,woman18 l,woman15 l,4.44,3.75,2.86,2.67,4.44,2.67,5.00
man9,last,man9@gmail.com,woman16 l,woman9 l,woman13 l,woman5 l,woman10 l,woman4 l,woman1 l,4.44,3.43,2.67,2.67,4.44,3.43,5.00
man10,last,man10@gmail.com,woman12 l,woman15 l,woman18 l,woman4 l,woman7 l,woman14 l,woman6 l,3.75,4.00,2.67,3.43,3.75,3.43,4.44
man11,last,man11@gmail.com,woman0 l,woman1 l,woman3 l,woman16 l,woman8 l,woman6 l,woman9 l,3.75,3.75,3.75,4.00,4.00,3.75,4.44
man12,last,man12@gmail.com,woman3 l,woman16 l,woman4 l,woman1 l,woman6 l,woman5 l,woman18 l,4.00,4.44,4.00,2.67,4.44,3.75,5.00
man13,last,man13@gmail.com,woman6 l,woman10 l,woman2 l,woman18 l,woman11 l,woman17 l,woman0 l,5.00,4.44,4.44,2.86,5.00,3.43,5.00
man14,last,man14@gmail.com,woman13 l,woman5 l,woman10 l,woman0 l,woman19 l,woman1 l,woman2 l,3.43,3.43,3.75,2.86,3.43,2.67,4.00
man15,last,man15@gmail.com,woman8 l,woman18 l,woman7 l,woman19 l,woman14 l,woman15 l,woman16 l,4.00,3.75,3.43,2.67,4.00,3.75,4.44
man16,last,man16@gmail.com,woman1 l,woman8 l,woman0 l,woman3 l,woman15 l,woman2 l,woman19 l,4.44,4.00,3.75,3.75,5.00,4.44,5.00
man17,last,man17@gmail.com,woman14 l,woman0 l,woman15 l,woman12 l,woman13 l,woman10 l,woman11 l,3.75,3.43,3.43,1.60,3.75,3.75,3.75
woman0,last,woman0@gmail.com,man11 l,man17 l,man16 l,man14 l,man3 l,No one !,man13 l,3.75,3.43,3.75,2.86,4.00,0.00,5.00
woman1,last,woman1@gmail.com,man16 l,man11 l,man4 l,man12 l,No one !,man14 l,man9 l,4.44,3.75,2.67,2.67,0.00,2.67,5.00
woman2,last,woman2@gmail.com,man7 l,man3 l,man13 l,man5 l,man4 l,man16 l,man14 l,4.44,3.75,4.44,4.44,4.44,4.44,4.00
woman3,last,woman3@gmail.com,man12 l,man4 l,man11 l,man16 l,man5 l,man1 l,No one !,4.00,3.43,3.75,3.75,4.44,3.75,0.00
woman4,last,woman4@gmail.com,man8 l,man5 l,man12 l,man10 l,man7 l,man9 l,man0 l,4.44,4.44,4.00,3.43,4.44,3.43,4.44
woman5,last,woman5@gmail.com,man1 l,man14 l,No one !,man9 l,man8 l,man12 l,man4 l,4.00,3.43,0.00,2.67,4.44,3.75,5.00
woman6,last,woman6@gmail.com,man13 l,man2 l,man0 l,No one !,man12 l,man11 l,man10 l,5.00,3.43,3.75,0.00,4.44,3.75,4.44
woman7,last,woman7@gmail.com,man4 l,man8 l,man15 l,man1 l,man10 l,man6 l,man2 l,3.43,3.75,3.43,3.00,3.75,4.00,4.00
woman8,last,woman8@gmail.com,man15 l,man16 l,man3 l,man2 l,man11 l,man0 l,No one !,4.00,4.00,3.00,2.00,4.00,3.43,0.00
woman9,last,woman9@gmail.com,man6 l,man9 l,No one !,man0 l,man2 l,man7 l,man11 l,3.75,3.43,0.00,3.43,3.75,3.43,4.44
woman10,last,woman10@gmail.com,man3 l,man13 l,man14 l,man7 l,man9 l,man17 l,man6 l,4.44,4.44,3.75,4.00,4.44,3.75,5.00
woman11,last,woman11@gmail.com,No one !,man7 l,man2 l,man6 l,man13 l,man4 l,man17 l,0.00,2.86,1.67,2.67,5.00,2.40,3.75
